split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
random,42,histgb,True,price_band,<100k,5358,28911.185148372395,43690.72071161432,0.5235298243825419
random,42,histgb,True,price_band,100k-250k,11591,39235.71311196011,51875.97586857276,0.32355747878268515
random,42,histgb,True,price_band,250k-500k,8352,55862.65062662485,74178.04322723631,0.2413459651850854
random,42,histgb,True,price_band,500k-1m,2343,98778.64559526327,126512.83910259385,0.24750724999895188
random,42,histgb,True,Property Class,202,4406,38157.62553002548,57024.6680998813,0.4083180854206348
random,42,histgb,True,Property Class,203,13407,42579.33083483443,60450.0875867002,0.355301110344373
random,42,histgb,True,Property Class,204,1757,58607.09673433207,78303.5214683554,0.29935411400956585
random,42,histgb,True,Property Class,205,2756,56447.86872020369,76570.94821990961,0.35230033909952824
random,42,histgb,True,Property Class,206,700,86390.06634777247,110014.94201898763,0.3247926305684669
random,42,histgb,True,Property Class,207,1286,42155.44594937339,59718.187351380686,0.28905571137563285
random,42,histgb,True,Property Class,208,234,84065.62260002678,111972.684138947,0.33621430227419796
random,42,histgb,True,Property Class,209,34,86425.66534860725,106184.23210991932,0.22786430982958203
random,42,histgb,True,Property Class,278,3064,56419.433871203415,77177.61276019311,0.23961593028639294
random,42,histgb,True,Town Code,10,167,68811.00795844803,89479.45925728396,0.21928608758154328
random,42,histgb,True,Town Code,11,469,44538.195920567756,62381.086157852194,0.34509322853721536
random,42,histgb,True,Town Code,12,670,30612.332124740096,44188.8159175257,0.39096158386481544
random,42,histgb,True,Town Code,13,875,32138.601168045083,40518.736629344836,0.38111183998354764
random,42,histgb,True,Town Code,14,106,33481.35415293321,40224.021493137814,0.5540954587924051
random,42,histgb,True,Town Code,15,366,34133.259990304316,43930.346301404905,0.40337468877814425
random,42,histgb,True,Town Code,16,548,41693.18081292228,57106.005510198826,0.19208400683637353
random,42,histgb,True,Town Code,17,283,85246.731753996,112626.49354061889,0.34956986551092184
random,42,histgb,True,Town Code,18,784,31426.680736576272,41877.213756444864,0.22792889280119322
random,42,histgb,True,Town Code,19,200,52343.84569102563,72518.4944046653,0.2080576058624046
random,42,histgb,True,Town Code,20,820,39540.98582406574,52466.04572655174,0.3023345184792435
random,42,histgb,True,Town Code,21,742,63768.00682838623,84653.86223883813,0.31934501460788484
random,42,histgb,True,Town Code,22,880,55678.650086321926,75720.09606686457,0.23242572785245116
random,42,histgb,True,Town Code,23,309,84855.163207818,105311.36715474458,0.2138474649546698
random,42,histgb,True,Town Code,24,709,51185.002656339224,68806.97854796745,0.2295683000980864
random,42,histgb,True,Town Code,25,575,75377.33759669,98581.69730695814,0.23627164636507192
random,42,histgb,True,Town Code,26,285,50142.868964462345,70372.29441845568,0.2596368605952719
random,42,histgb,True,Town Code,27,427,76261.951547986,99970.89058763253,0.26856900871107336
random,42,histgb,True,Town Code,28,574,39713.96737753068,54577.66460860622,0.1824192881332355
random,42,histgb,True,Town Code,29,838,49853.66381467054,66681.55315638489,0.2201732140526052
random,42,histgb,True,Town Code,30,281,51480.255300063676,70706.38480676805,0.2927427891337033
random,42,histgb,True,Town Code,31,1386,40020.68002020986,56395.73816960407,0.3454872599111148
random,42,histgb,True,Town Code,32,753,32472.277028514975,45652.729689256055,0.3796311199548946
random,42,histgb,True,Town Code,33,70,87943.86344089668,110153.1785039964,0.2315956840829225
random,42,histgb,True,Town Code,34,212,62620.28566453708,86273.99280843655,0.29084286083708566
random,42,histgb,True,Town Code,35,763,36567.94522254535,48759.160639075424,0.1926333607955048
random,42,histgb,True,Town Code,36,377,33761.65444079967,44819.32917941541,0.3106104074781875
random,42,histgb,True,Town Code,37,1262,26335.21241700947,34929.59881305155,0.433739647239808
random,42,histgb,True,Town Code,38,1044,49500.71364123105,66518.31283592248,0.21038857239003378
