feature,log_rmse_increase,std
Latitude,0.3817670809645642,0.015393959841040025
Longitude,0.18637484625951897,0.001518191506629838
Building Square Feet,0.05097492477533072,0.0017607522438864976
Most Recent Sale,0.05002249439298808,0.002387605824874861
Sale Year,0.0416727792854957,0.0026720704020290957
Town and Neighborhood,0.031085708849819926,0.0012230110945582095
Town Code,0.02755253711005094,0.0015065716423042878
Age,0.018110935922778477,0.0016127466732114586
Neighborhood Code,0.01707388226745606,0.0018735051029617324
Land Square Feet,0.012012104633639517,0.001287889583657252
Basement,0.010456594152403057,0.001374397457636113
Property Class,0.010338145353048814,0.0013313728910564566
Wall Material,0.004014008874526205,0.0009484240117023411
Description,0.0034591264558183252,0.0009934322316171348
Fireplaces,0.002792458909578891,0.000565525698650583
Multi Property Indicator,0.002706887803694417,0.001071037010418075
Road Proximity,0.001975607760416387,0.0005099645144857149
Cathedral Ceiling,0.0014262234511817813,0.00017401424870176923
Sale Month of Year,0.0012996894928767693,0.0015013035576320443
Garage 1 Material,0.0010005916196383173,0.00025765925700529463
Sale Quarter of Year,0.0009781331360368406,0.00024345647886160108
Garage 1 Size,0.000764757644026004,0.0003141584451551551
Basement Finish,0.0007302774643976329,6.6985517783355e-05
Floodplain,0.00036941518777461324,0.00041344603804216467
Garage 2 Area,0.00033343687415521295,2.5583235448164734e-05
Garage 1 Attachment,0.0002579361121982278,5.5161822899514964e-05
Repair Condition,0.00013425427713746144,6.090692055458688e-05
Attic Finish,0.0001116194374565042,0.0001577317474998995
Attic Type,0.00010841421289022508,0.00013404547097266788
Porch,0.00010210566958857026,0.00013826059295899088
Other Heating,9.738004379668726e-05,0.00014803077067423813
Garage 1 Area,9.290223930743154e-05,3.161777752476919e-05
Garage Indicator,3.361642625515637e-05,0.00020305774110642471
Multi Code,0.0,0.0
Use,0.0,0.0
Modeling Group,0.0,0.0
Garage 2 Material,0.0,0.0
Apartments,0.0,0.0
Garage 2 Attachment,0.0,0.0
PIN,0.0,0.0
Census Tract,0.0,0.0
Number of Commercial Units,0.0,0.0
Estimate (Land),0.0,0.0
Garage 2 Size,0.0,0.0
Other Improvements,0.0,0.0
Pure Market Filter,0.0,0.0
Sale Half of Year,0.0,0.0
Sale Quarter,0.0,0.0
Sale Half-Year,0.0,0.0
Neigborhood Code (mapping),0.0,0.0
Age Decade,0.0,0.0
Estimate (Building),0.0,0.0
Deed No.,0.0,0.0
Lot Size,0.0,0.0
Roof Material,-1.965802643573896e-06,7.0424135059475e-05
Design Plan,-1.2646502887329417e-05,8.983446192839763e-05
O'Hare Noise,-1.3133488784048778e-05,1.354945479727129e-05
Central Heating,-2.442241697638477e-05,5.743764568669315e-05
Construction Quality,-5.311933545215641e-05,6.357096803103344e-05
Site Desirability,-7.176548272752603e-05,0.0001363312719923118
Central Air,-0.0002779550505519664,0.000322878761365235
