feature,log_rmse_increase,std
Estimate (Building),0.2473053291730282,0.0034975011258699226
Latitude,0.07590822250133673,0.006562221972755977
Estimate (Land),0.07306696951222263,0.0028681435845492984
Most Recent Sale,0.05160657648841962,0.00432413455232364
Longitude,0.04724127742401966,0.004028100005453863
Sale Year,0.04136934900443834,0.0031545446235928315
Multi Property Indicator,0.02310925375359681,0.0020894305339809803
Age,0.021423740281712327,0.0026485930208147894
Land Square Feet,0.010784834908146615,0.0007857309645948119
Building Square Feet,0.009127828197730947,0.0009674407878595745
Town Code,0.006245128041425925,0.0014384398503300092
Basement,0.0035756988624841,0.00026694783847948356
Property Class,0.0034490514051112218,0.00023839891001705435
Neighborhood Code,0.0033312253800646765,0.0008954998533357964
Road Proximity,0.0027921287634204983,0.00026726075558402445
Wall Material,0.0018613819346330884,0.0002581925065177099
Sale Month of Year,0.0011967910813485323,0.0012207854520870191
Cathedral Ceiling,0.0011895563645353453,0.0007914422177966879
Sale Quarter of Year,0.0011354737905773793,0.0003870429231528198
Town and Neighborhood,0.0011341010291929983,0.0008853696848394313
Basement Finish,0.001097854607983173,0.00011158354011997269
Description,0.0007895596070713514,0.00045989944024652196
Garage 1 Material,0.00037451474762769293,0.000238923997133102
Garage Indicator,0.0003498504088141156,6.035187899753895e-05
Garage 1 Attachment,0.0002557572731758939,7.438229062846511e-05
Fireplaces,0.00023607117189574275,0.00016087748270926497
Repair Condition,0.00021416685770124047,0.0001067806763301499
Garage 2 Area,0.00014206646070972587,1.67691414761858e-05
Garage 1 Size,6.410970047486068e-05,7.455797626889848e-05
Other Heating,5.7498197457557985e-05,0.0001692361479934833
Garage 1 Area,3.6586651777655486e-05,8.81913818054296e-05
O'Hare Noise,2.6053246650226125e-05,6.608047023733977e-05
Floodplain,1.7938994486821347e-05,0.0001371610540526351
Construction Quality,1.2197640912610849e-05,3.577073624248468e-05
Roof Material,4.780402960258279e-06,9.314455699805341e-05
Garage 2 Size,3.4633079136388765e-06,7.635062749634995e-06
Census Tract,0.0,0.0
PIN,0.0,0.0
Apartments,0.0,0.0
Garage 2 Material,0.0,0.0
Modeling Group,0.0,0.0
Multi Code,0.0,0.0
Other Improvements,0.0,0.0
Number of Commercial Units,0.0,0.0
Garage 2 Attachment,0.0,0.0
Use,0.0,0.0
Sale Half of Year,0.0,0.0
Sale Quarter,0.0,0.0
Sale Half-Year,0.0,0.0
Pure Market Filter,0.0,0.0
Age Decade,0.0,0.0
Neigborhood Code (mapping),0.0,0.0
Deed No.,0.0,0.0
Lot Size,0.0,0.0
Design Plan,-3.169468221394152e-07,8.038505495808506e-05
Central Heating,-1.0551602638538457e-05,8.117238596683747e-05
Attic Type,-4.5242866437274674e-05,0.00015731822259880613
Porch,-8.31307511564942e-05,7.709509745070365e-05
Site Desirability,-8.898802608725553e-05,0.00014050722574643828
Attic Finish,-0.0001404748100872951,0.00012250163344353464
Central Air,-0.00042304975981988235,0.000658834443277497
