split,seed,model,estimates,train_rows,validation_rows,seconds,mae,rmse,log_rmse
random,42,median,True,110573,27644,2.132488965988159,123590.32517001881,164991.17260995344,0.7890294661638896
random,42,ridge,True,110573,27644,3.9224419593811035,51072.80448368827,74330.65622319502,0.35974432247802696
random,42,histgb,True,110573,27644,5.187527418136597,47304.67752022072,67211.14389913713,0.34613502802130214
random,42,median,False,110573,27644,2.232332706451416,123590.32517001881,164991.17260995344,0.7890294661638896
random,42,ridge,False,110573,27644,3.914257049560547,51105.85215982873,74329.98028124403,0.35964555927032577
random,42,histgb,False,110573,27644,5.192665100097656,47776.88784235309,68582.2045475488,0.34736795134624066
random,43,median,True,110573,27644,2.1701343059539795,122764.46140211257,163876.16254962017,0.7880190866848944
random,43,ridge,True,110573,27644,4.043651580810547,50794.33370220599,73654.26174598394,0.36090454992958826
random,43,histgb,True,110573,27644,5.1351611614227295,47048.16424930632,67087.3642578756,0.3464663879430711
random,43,median,False,110573,27644,2.1385040283203125,122764.46140211257,163876.16254962017,0.7880190866848944
random,43,ridge,False,110573,27644,4.04486870765686,50882.68634075304,73739.22800258035,0.3608098438963458
random,43,histgb,False,110573,27644,5.14298939704895,47966.53416719904,68752.46320504624,0.3488604479528318
random,44,median,True,110573,27644,2.2541306018829346,122973.85588192736,164035.13000404186,0.7827081463611407
random,44,ridge,True,110573,27644,4.206637859344482,51431.90709894283,74325.18143739048,0.36257031156504455
random,44,histgb,True,110573,27644,5.434112071990967,47056.766735367026,67324.43906575098,0.34799212436629234
random,44,median,False,110573,27644,2.1632323265075684,122973.85588192736,164035.13000404186,0.7827081463611407
random,44,ridge,False,110573,27644,3.9018070697784424,51457.88498599809,74305.0820474417,0.36239007093828496
random,44,histgb,False,110573,27644,5.1993114948272705,47714.37761236543,68555.47617423358,0.3491462002444294
group,42,median,True,110596,27621,2.068227529525757,122562.88544947685,164238.87897568633,0.7793784816643505
group,42,ridge,True,110596,27621,3.959277391433716,51457.60607584355,74849.4725009254,0.3590989138092582
group,42,histgb,True,110596,27621,5.128464221954346,47654.38856807031,68208.6195044569,0.3464337717679604
group,42,median,False,110596,27621,2.0511415004730225,122562.88544947685,164238.87897568633,0.7793784816643505
group,42,ridge,False,110596,27621,3.926698684692383,51502.46672690902,74771.20992783949,0.3588014725233247
group,42,histgb,False,110596,27621,5.0231239795684814,48193.49349663067,69359.3571703875,0.34682788673149006
group,43,median,True,110542,27675,2.0637283325195312,122246.27819331527,163483.05421697852,0.7763628347184327
group,43,ridge,True,110542,27675,4.009716987609863,50709.27815028214,72670.02699331085,0.3562113291489337
group,43,histgb,True,110542,27675,5.1204540729522705,46932.79411014527,66589.430648368,0.34112429037308123
group,43,median,False,110542,27675,2.087372303009033,122246.27819331527,163483.05421697852,0.7763628347184327
group,43,ridge,False,110542,27675,4.159703016281128,50777.12977775012,72810.77726330704,0.3562060312813007
group,43,histgb,False,110542,27675,5.081121444702148,47617.244760997164,67847.32848951034,0.34415070956069366
group,44,median,True,110694,27523,2.115248918533325,122743.87163463286,164047.19800512315,0.7845904987884638
group,44,ridge,True,110694,27523,3.90175199508667,50374.872426195056,73250.81844738574,0.35778587097333453
group,44,histgb,True,110694,27523,5.229433059692383,46498.89528101969,66549.62949174695,0.34392689342868715
group,44,median,False,110694,27523,2.0743722915649414,122743.87163463286,164047.19800512315,0.7845904987884638
group,44,ridge,False,110694,27523,3.7919163703918457,50456.127698533084,73293.66501220253,0.3578180334847901
group,44,histgb,False,110694,27523,5.200618743896484,47282.88812300486,67892.72499209785,0.34570771442092746
time,42,median,True,113898,20199,2.1044304370880127,122900.393732363,167151.45393968772,0.7198200813772879
time,42,ridge,True,113898,20199,3.886263608932495,58779.18993040402,80313.3235690766,0.3985236500733921
time,42,histgb,True,113898,20199,5.484953880310059,70862.19913308146,90923.27842695238,0.49226184872435025
time,42,median,False,113898,20199,2.094691276550293,122900.393732363,167151.45393968772,0.7198200813772879
time,42,ridge,False,113898,20199,3.8540256023406982,59575.97482029433,81016.30055964505,0.40154286926972826
time,42,histgb,False,113898,20199,4.99467921257019,78109.15151775227,101219.90348563221,0.5169466413223277
