split,model,estimates,rmse_mean,rmse_std,mae_mean,log_rmse_mean
group,histgb,False,68366.4702173319,860.1648602290375,47697.8754602109,0.34556210357103706
group,histgb,True,67115.89321485728,946.5379501127809,47028.69265307842,0.3438283185232429
group,median,False,163923.043732596,392.91026839342396,122517.67842580832,0.7801106050570823
group,median,True,163923.043732596,392.91026839342396,122517.67842580832,0.7801106050570823
group,ridge,False,73625.21740111634,1021.4055502038825,50911.90806773074,0.3576085124298052
group,ridge,True,73590.10598054067,1128.641972806736,50847.25221744025,0.3576987046438422
random,histgb,False,68630.04797560954,106.85372143051156,47819.26654063919,0.34845819984783394
random,histgb,True,67207.64907425457,118.57603671487226,47136.53616829802,0.34686451344355523
random,median,False,164300.82172120517,603.1218161267037,123109.54748468625,0.7865855664033082
random,median,True,164300.82172120517,603.1218161267037,123109.54748468625,0.7865855664033082
random,ridge,False,74124.76344375535,334.115493225211,51148.80782885995,0.3609484913683188
random,ridge,True,74103.36646885647,388.9457319469117,51099.68176161236,0.3610730613242199
time,histgb,False,101219.90348563221,,78109.15151775227,0.5169466413223277
time,histgb,True,90923.27842695238,,70862.19913308146,0.49226184872435025
time,median,False,167151.45393968772,,122900.393732363,0.7198200813772879
time,median,True,167151.45393968772,,122900.393732363,0.7198200813772879
time,ridge,False,81016.30055964505,,59575.97482029433,0.40154286926972826
time,ridge,True,80313.3235690766,,58779.18993040402,0.3985236500733921
